Date,Open,High,Low,Close,SMAVG (200) on Close,SMAVG (50) on Close,SMAVG (100) on Close
01/11/2016 10:30,1280,1280.15,1279.4,1279.41,1272.07,1276.03,1274.62
01/11/2016 10:00,1279.54,1280.01,1278.6,1279.99,1272.05,1275.95,1274.52
01/11/2016 09:30,1279.47,1279.95,1278.9,1279.53,1272.03,1275.86,1274.43
01/11/2016 09:00,1279.67,1280.07,1279.27,1279.48,1272.01,1275.79,1274.35
01/11/2016 08:30,1279.47,1279.89,1278.99,1279.67,1271.99,1275.75,1274.26
01/11/2016 08:00,1279.7,1280.88,1279.09,1279.47,1271.96,1275.71,1274.18
01/11/2016 07:30,1277.5,1280.19,1277.25,1279.7,1271.94,1275.66,1274.1
01/11/2016 07:00,1276.71,1277.66,1276.57,1277.5,1271.92,1275.61,1274.01
01/11/2016 06:30,1277.75,1277.88,1276.48,1276.7,1271.9,1275.6,1273.95
01/11/2016 06:00,1277.26,1277.85,1276.64,1277.75,1271.89,1275.61,1273.89
01/11/2016 05:30,1277.59,1277.75,1276.87,1277.16,1271.88,1275.59,1273.8
01/11/2016 05:00,1277.46,1277.66,1276.88,1277.6,1271.86,1275.59,1273.72
01/11/2016 04:30,1277.06,1277.9,1276.77,1277.46,1271.85,1275.57,1273.64
01/11/2016 04:00,1276.64,1277.6,1276.63,1277.06,1271.83,1275.56,1273.56
01/11/2016 03:30,1277.43,1277.49,1276.53,1276.64,1271.82,1275.56,1273.49
01/11/2016 03:00,1276.74,1277.99,1275.71,1277.43,1271.8,1275.57,1273.41
01/11/2016 02:30,1277.04,1277.59,1276.63,1276.74,1271.79,1275.57,1273.33
01/11/2016 02:00,1276.21,1277.29,1276.2,1277.04,1271.77,1275.61,1273.24
01/11/2016 01:30,1276.46,1276.63,1276.15,1276.21,1271.76,1275.64,1273.16
01/11/2016 01:00,1276.69,1277.24,1276.11,1276.46,1271.76,1275.67,1273.08
01/11/2016 00:30,1275.96,1277.05,1275.64,1276.69,1271.75,1275.68,1273.01
01/11/2016 00:00,1277.27,1277.44,1275.77,1275.96,1271.74,1275.66,1272.93
31/10/2016 23:30,1277.1,1277.7,1277,1277.05,1271.72,1275.65,1272.87
31/10/2016 23:00,1277.21,1277.22,1277.17,1277.22,1271.7,1275.62,1272.81
31/10/2016 22:30,1278.14,1278.29,1276.99,1277.21,1271.68,1275.6,1272.73
31/10/2016 22:00,1278.13,1278.41,1277.88,1278.12,1271.66,1275.61,1272.66
31/10/2016 21:30,1277.05,1278.94,1277.05,1278.13,1271.63,1275.62,1272.56
31/10/2016 21:00,1275.35,1277.3,1275.22,1277.05,1271.59,1275.71,1272.47
31/10/2016 20:30,1275.37,1275.66,1274.95,1275.37,1271.55,1275.69,1272.38
31/10/2016 20:00,1273.8,1276.01,1273.8,1275.38,1271.52,1275.59,1272.32
31/10/2016 19:30,1272.75,1274.03,1272.75,1273.8,1271.48,1275.48,1272.26
31/10/2016 19:00,1273.04,1274.76,1271.29,1272.74,1271.46,1275.36,1272.19
31/10/2016 18:30,1273.26,1273.82,1272.71,1273.04,1271.44,1275.26,1272.15
31/10/2016 18:00,1274.2,1274.69,1273.25,1273.26,1271.42,1275.24,1272.09
31/10/2016 17:30,1273.78,1274.47,1272.91,1274.2,1271.4,1275.24,1272.06
31/10/2016 17:00,1273.39,1274.37,1272.55,1273.78,1271.38,1275.2,1272.04
31/10/2016 16:30,1274.34,1274.39,1272.61,1273.39,1271.35,1275.15,1272
31/10/2016 16:00,1274.98,1275.54,1273.93,1274.34,1271.33,1274.99,1271.96
31/10/2016 15:30,1274.27,1275.01,1272.66,1274.98,1271.3,1274.85,1271.91
31/10/2016 15:00,1273.22,1274.48,1272.14,1274.27,1271.27,1274.68,1271.86
31/10/2016 14:30,1273.1,1274.47,1272.8,1273.22,1271.25,1274.53,1271.82
31/10/2016 14:00,1272.64,1274.11,1272.44,1273.1,1271.22,1274.38,1271.79
31/10/2016 13:30,1273.84,1273.94,1271.79,1272.63,1271.19,1274.25,1271.75
31/10/2016 13:00,1274.13,1274.4,1273.83,1273.84,1271.17,1274.13,1271.71
31/10/2016 12:30,1273.84,1274.42,1273.64,1274.12,1271.13,1273.97,1271.66
31/10/2016 12:00,1273.83,1274.73,1273.73,1273.84,1271.09,1273.83,1271.61
31/10/2016 11:30,1273.11,1273.98,1272.8,1273.83,1271.05,1273.69,1271.57
31/10/2016 11:00,1274.21,1274.41,1272.6,1273.11,1271.02,1273.56,1271.51
31/10/2016 10:30,1274.6,1275.06,1273.92,1274.22,1270.98,1273.44,1271.46
31/10/2016 10:00,1275.41,1275.68,1273.79,1274.6,1270.94,1273.34,1271.41
31/10/2016 09:30,1275.58,1275.67,1274.98,1275.41,1270.89,1273.21,1271.34
31/10/2016 09:00,1275.99,1276.15,1274.3,1275.58,1270.84,1273.08,1271.26
31/10/2016 08:30,1277.52,1277.53,1275.8,1275.99,1270.78,1273,1271.17
31/10/2016 08:00,1277.66,1278.22,1277.36,1277.52,1270.73,1272.9,1271.08
31/10/2016 07:30,1277.19,1278.27,1276.87,1277.66,1270.66,1272.78,1270.97
31/10/2016 07:00,1276.95,1277.17,1276.79,1277.17,1270.59,1272.65,1270.86
31/10/2016 06:30,1277.12,1277.25,1276.82,1276.96,1270.52,1272.54,1270.76
31/10/2016 06:00,1276.92,1277.34,1276.89,1277.12,1270.45,1272.42,1270.65
31/10/2016 05:30,1276.87,1277.05,1276.56,1276.93,1270.39,1272.3,1270.54
31/10/2016 05:00,1277.03,1277.23,1276.49,1276.87,1270.32,1272.17,1270.43
31/10/2016 04:30,1276.77,1277.34,1276.22,1277.03,1270.26,1272.02,1270.32
31/10/2016 04:00,1276.98,1277.67,1276.67,1276.77,1270.2,1271.86,1270.22
31/10/2016 03:30,1277.05,1277.64,1276.57,1276.98,1270.14,1271.72,1270.11
31/10/2016 03:00,1277.25,1279.65,1276.39,1277.05,1270.07,1271.57,1270
31/10/2016 02:30,1277.31,1277.77,1276.79,1277.25,1270.01,1271.42,1269.89
31/10/2016 02:00,1278.97,1279.58,1277.28,1277.31,1269.95,1271.25,1269.79
31/10/2016 01:30,1278.31,1278.99,1277.78,1278.97,1269.88,1271.08,1269.69
31/10/2016 01:00,1277.8,1278.33,1277.32,1278.32,1269.8,1270.87,1269.57
31/10/2016 00:30,1276.92,1278.08,1276.49,1277.81,1269.73,1270.67,1269.45
31/10/2016 00:00,1277.97,1279.63,1276.89,1276.89,1269.65,1270.48,1269.34
28/10/2016 23:30,1275.99,1276.5,1275.47,1275.47,1269.59,1270.33,1269.24
28/10/2016 23:00,1275.11,1276.2,1274.9,1275.85,1269.53,1270.21,1269.15
28/10/2016 22:30,1276.4,1277.05,1274.89,1275.13,1269.46,1270.09,1269.06
28/10/2016 22:00,1277.7,1278.51,1276.28,1276.41,1269.4,1270,1268.98
28/10/2016 21:30,1278.53,1278.65,1276.86,1277.7,1269.33,1269.87,1268.88
28/10/2016 21:00,1282.79,1284.2,1276.75,1278.53,1269.25,1269.7,1268.76
28/10/2016 20:30,1276.08,1282.82,1275.8,1282.8,1269.18,1269.51,1268.66
28/10/2016 20:00,1270.15,1276.08,1270.13,1276.08,1269.09,1269.23,1268.51
28/10/2016 19:30,1270.13,1270.82,1269.83,1270.13,1269.07,1269.08,1268.44
28/10/2016 19:00,1267.67,1270.84,1267.45,1270.13,1269.07,1269.06,1268.43
28/10/2016 18:30,1267.8,1268.35,1267.07,1267.67,1269.05,1269.03,1268.41
28/10/2016 18:00,1272.03,1272.43,1266.94,1267.8,1269.04,1269.03,1268.46
28/10/2016 17:30,1273.2,1273.31,1271.81,1272.03,1269.03,1269.03,1268.51
28/10/2016 17:00,1272.37,1273.88,1271.63,1273.2,1268.99,1268.94,1268.5
28/10/2016 16:30,1270.99,1273.69,1270.59,1272.37,1268.95,1268.88,1268.49
28/10/2016 16:00,1265.8,1272.38,1265.79,1270.99,1268.92,1268.87,1268.49
28/10/2016 15:30,1267.36,1267.63,1262.02,1265.8,1268.9,1268.86,1268.48
28/10/2016 15:00,1266.36,1267.55,1265.96,1267.35,1268.9,1268.93,1268.54
28/10/2016 14:30,1266.59,1267.04,1266.16,1266.35,1268.89,1268.97,1268.59
28/10/2016 14:00,1265.93,1267.26,1265.88,1266.59,1268.89,1269.04,1268.67
28/10/2016 13:30,1266.43,1266.43,1265.59,1265.93,1268.89,1269.11,1268.75
28/10/2016 13:00,1266.6,1266.87,1266.24,1266.43,1268.89,1269.19,1268.83
28/10/2016 12:30,1266.03,1267.21,1265.67,1266.62,1268.88,1269.25,1268.9
28/10/2016 12:00,1267.13,1267.5,1265.83,1266.03,1268.88,1269.28,1268.99
28/10/2016 11:30,1266.52,1267.52,1265.68,1267.13,1268.87,1269.35,1269.09
28/10/2016 11:00,1267.39,1267.91,1266.31,1266.52,1268.86,1269.39,1269.16
28/10/2016 10:30,1267.09,1267.77,1266.85,1267.39,1268.85,1269.44,1269.24
28/10/2016 10:00,1269.28,1269.68,1266.74,1267.13,1268.83,1269.47,1269.3
28/10/2016 09:30,1268.24,1269.77,1268.15,1269.28,1268.81,1269.49,1269.38
28/10/2016 09:00,1268.82,1268.96,1267.8,1268.24,1268.78,1269.48,1269.45
28/10/2016 08:30,1271.42,1271.43,1268.63,1268.81,1268.75,1269.47,1269.52
28/10/2016 08:00,1271.13,1271.82,1270.94,1271.42,1268.73,1269.44,1269.58
28/10/2016 07:30,1271.32,1271.55,1271.04,1271.13,1268.69,1269.35,1269.62
28/10/2016 07:00,1271.57,1271.68,1271.12,1271.32,1268.67,1269.25,1269.67
28/10/2016 06:30,1271.47,1272,1271.38,1271.51,1268.65,1269.16,1269.71
28/10/2016 06:00,1270.89,1271.57,1270.69,1271.47,1268.62,1269.06,1269.74
28/10/2016 05:30,1271.26,1271.34,1270.38,1270.89,1268.6,1268.97,1269.78
28/10/2016 05:00,1270.32,1271.61,1270.32,1271.26,1268.57,1268.89,1269.83
28/10/2016 04:30,1269.4,1270.76,1269.31,1270.32,1268.55,1268.78,1269.85
28/10/2016 04:00,1268.91,1269.74,1268.15,1269.4,1268.53,1268.7,1269.9
28/10/2016 03:30,1269.69,1270.01,1268.53,1268.91,1268.52,1268.63,1269.95
28/10/2016 03:00,1269.69,1269.99,1269.08,1269.68,1268.51,1268.58,1270
28/10/2016 02:30,1269.67,1270.1,1268.44,1269.69,1268.5,1268.51,1270.06
28/10/2016 02:00,1268.78,1270.42,1268.58,1269.67,1268.48,1268.43,1270.1
28/10/2016 01:30,1268.85,1268.9,1268.17,1268.78,1268.47,1268.36,1270.14
28/10/2016 01:00,1268.37,1269.02,1268.08,1268.86,1268.46,1268.33,1270.19
28/10/2016 00:30,1268.45,1268.45,1268.01,1268.35,1268.46,1268.29,1270.25
